LOX Dome:  Propane Dome:  
time elapsed, loxTankPressure, propTankPressure, loxInjectorPressure, propInjectorPressure, highPressure, loxTreeTemp, loxHeater, boardVoltage, energyConsumed, loxTankTemp, chamberTemp1, chamberTemp2, chamberTemp3
11.49515700340271,NaN,NaN,100.0,138.0,95.0,0.0,233.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.691450119018555,NaN,NaN,100.0,139.0,96.0,0.0,231.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.01515793800354,8.59,13.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.318472862243652,9.08,8.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.404376983642578,NaN,NaN,99.0,140.0,98.0,0.0,232.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12.55588412284851,NaN,NaN,100.0,138.0,97.0,0.0,232.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.01094913482666,NaN,NaN,100.0,138.0,96.0,0.0,233.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.162076950073242,NaN,NaN,98.0,141.0,97.0,0.0,234.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.268205165863037,NaN,NaN,100.0,137.0,96.0,0.0,233.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.420152187347412,NaN,NaN,101.0,138.0,98.0,0.0,232.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.571681022644043,NaN,NaN,102.0,138.0,97.0,0.0,234.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.677695035934448,9.08,8.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.763787031173706,NaN,NaN,98.0,134.0,97.0,0.0,234.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.915661096572876,NaN,NaN,99.0,136.0,96.0,0.0,234.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.173650979995728,NaN,NaN,100.0,141.0,96.0,0.0,235.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.366305112838745,NaN,NaN,99.0,135.0,97.0,0.0,234.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.669191122055054,NaN,NaN,100.0,140.0,96.0,0.0,234.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.865928888320923,NaN,NaN,100.0,138.0,98.0,0.0,233.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.97197699546814,NaN,NaN,99.0,140.0,97.0,0.0,235.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.189281940460205,8.11,18.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.27505111694336,NaN,NaN,99.0,135.0,97.0,0.0,234.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.381760120391846,NaN,NaN,99.0,142.0,97.0,0.0,234.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.72642993927002,NaN,NaN,99.0,138.0,97.0,0.0,237.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.984121084213257,NaN,NaN,101.0,137.0,97.0,0.0,234.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.1804621219635,NaN,NaN,100.0,140.0,96.0,0.0,236.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.3319149017334,NaN,NaN,100.0,136.0,98.0,0.0,234.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.483794927597046,NaN,NaN,98.0,135.0,98.0,0.0,234.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.6353919506073,NaN,NaN,100.0,135.0,97.0,0.0,236.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.831645011901855,NaN,NaN,100.0,134.0,97.0,0.0,235.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.98347496986389,NaN,NaN,99.0,137.0,97.0,0.0,236.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.089617252349854,NaN,NaN,100.0,139.0,97.0,0.0,236.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.307167053222656,8.59,12.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.65109086036682,NaN,NaN,98.0,142.0,97.0,0.0,237.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.802407264709473,NaN,NaN,101.0,142.0,98.0,0.0,237.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.95408296585083,NaN,NaN,98.0,138.0,97.0,0.0,234.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.105703830718994,NaN,NaN,100.0,138.0,97.0,0.0,236.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.257198095321655,NaN,NaN,100.0,137.0,97.0,0.0,237.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.408775091171265,NaN,NaN,101.0,140.0,96.0,0.0,237.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18.756850242614746,NaN,NaN,100.0,138.0,96.0,0.0,236.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
