LOX Dome:  Propane Dome:  
time elapsed, loxTankPressure, propTankPressure, loxInjectorPressure, propInjectorPressure, highPressure, loxTreeTemp, loxHeater, boardVoltage, energyConsumed, loxTankTemp, chamberTemp1, chamberTemp2, chamberTemp3
0.07813596725463867,NaN,NaN,100.0,138.0,97.0,0.0,155.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.48758697509765625,NaN,NaN,100.0,140.0,98.0,0.0,156.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5768880844116211,NaN,NaN,99.0,136.0,95.0,0.0,155.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.7457919120788574,6.64,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.831751823425293,NaN,NaN,100.0,137.0,97.0,0.0,159.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.0284008979797363,NaN,NaN,100.0,133.0,96.0,0.0,155.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.1799659729003906,NaN,NaN,99.0,137.0,97.0,0.0,155.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.3313329219818115,NaN,NaN,101.0,137.0,98.0,0.0,155.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.482870101928711,NaN,NaN,99.0,139.0,97.0,0.0,155.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.6341807842254639,NaN,NaN,102.0,138.0,97.0,0.0,156.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.7861030101776123,NaN,NaN,100.0,135.0,97.0,0.0,156.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.937370777130127,NaN,NaN,101.0,134.0,99.0,0.0,156.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.154473066329956,NaN,NaN,100.0,136.0,97.0,0.0,154.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.3068249225616455,NaN,NaN,101.0,139.0,97.0,0.0,155.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.5026659965515137,NaN,NaN,100.0,134.0,96.0,0.0,156.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.6545889377593994,NaN,NaN,101.0,138.0,98.0,0.0,156.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
