LOX Dome:  Propane Dome: 91 
time elapsed, loxTankPressure, propTankPressure, loxInjectorPressure, propInjectorPressure, highPressure, loxTreeTemp, loxHeater, boardVoltage, energyConsumed, loxTankTemp, chamberTemp1, chamberTemp2, chamberTemp3
13.122904777526855,7.13,21.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.27393102645874,7.13,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.405173063278198,NaN,NaN,101.0,142.0,98.0,0.0,234.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.667329788208008,NaN,NaN,100.0,144.0,96.0,0.0,243.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13.863438844680786,NaN,NaN,100.0,138.0,98.0,0.0,241.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.081270933151245,NaN,NaN,101.0,144.0,98.0,0.0,241.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.42946481704712,NaN,NaN,100.0,144.0,97.0,0.0,236.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.625221014022827,NaN,NaN,100.0,138.0,98.0,0.0,234.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14.88749384880066,NaN,NaN,100.0,138.0,96.0,0.0,238.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.086785793304443,NaN,NaN,101.0,138.0,98.0,0.0,238.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.30147385597229,NaN,NaN,102.0,141.0,97.0,0.0,242.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.649685144424438,NaN,NaN,100.0,138.0,97.0,0.0,242.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.866533994674683,6.15,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15.95311188697815,NaN,NaN,101.0,145.0,97.0,0.0,235.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.1496160030365,NaN,NaN,102.0,138.0,97.0,0.0,240.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.60394287109375,NaN,NaN,102.0,142.0,97.0,0.0,239.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16.865803956985474,NaN,NaN,102.0,143.0,97.0,0.0,241.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.082982063293457,6.15,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.36562180519104,NaN,NaN,101.0,142.0,96.0,0.0,235.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.58283495903015,NaN,NaN,102.0,143.0,98.0,0.0,241.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17.779021978378296,NaN,NaN,102.0,144.0,97.0,0.0,240.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
